date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-03-01,中山,1,平地,3歳,3歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-03-01,中山,2,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-03-01,中山,3,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-03-01,中山,4,平地,3歳,3歳1勝クラス,1勝,,ダート,1800,,
2026-03-01,中山,5,平地,3歳,3歳未勝利,未勝利,外,芝,1600,,
2026-03-01,中山,6,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1800,牝馬限定,定量
2026-03-01,中山,7,平地,3歳,3歳1勝クラス,1勝,外,芝,1600,,
2026-03-01,中山,8,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-03-01,中山,9,平地,4歳以上,富里特別,2勝,,芝,2000,,定量
2026-03-01,中山,10,平地,4歳以上,アクアマリンステークス,3勝,外,芝,1200,,定量
2026-03-01,中山,11,平地,4歳以上,第100回 中山記念（GⅡ）,G2,,芝,1800,,別定
2026-03-01,中山,12,平地,4歳以上,4歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-03-01,阪神,1,平地,3歳,3歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-03-01,阪神,2,平地,3歳,3歳未勝利,未勝利,,ダート,1400,,
2026-03-01,阪神,3,平地,3歳,3歳未勝利,未勝利,,ダート,2000,,
2026-03-01,阪神,4,平地,3歳,3歳1勝クラス,1勝,,ダート,1800,,
2026-03-01,阪神,5,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-03-01,阪神,6,平地,3歳,3歳1勝クラス,1勝,,芝,2000,,
2026-03-01,阪神,7,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1200,牝馬限定,定量
2026-03-01,阪神,8,平地,4歳以上,4歳以上1勝クラス,1勝,外,芝,1800,,定量
2026-03-01,阪神,9,平地,4歳以上,山陽特別,2勝,,芝,2200,,定量
2026-03-01,阪神,10,平地,4歳以上,伊丹ステークス,3勝,,ダート,1800,,定量
2026-03-01,阪神,11,平地,3歳,第33回 チューリップ賞（GⅡ） （桜花賞トライアル）,G2,外,芝,1600,牝馬限定,
2026-03-01,阪神,12,平地,4歳以上,4歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-03-01,小倉,1,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-03-01,小倉,2,平地,3歳,3歳未勝利,未勝利,,芝,2000,牝馬限定,
2026-03-01,小倉,3,平地,3歳,3歳未勝利,未勝利,,ダート,1000,,
2026-03-01,小倉,4,障害,4歳以上,障害4歳以上未勝利,未勝利,,芝,2860,,定量
2026-03-01,小倉,5,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-03-01,小倉,6,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-03-01,小倉,7,平地,4歳以上,4歳以上1勝クラス,1勝,,芝,1200,,定量
2026-03-01,小倉,8,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1700,牝馬限定,定量
2026-03-01,小倉,9,平地,4歳以上,唐戸特別,1勝,,芝,2000,,定量
2026-03-01,小倉,10,平地,4歳以上,西日本新聞杯,2勝,,芝,1200,,定量
2026-03-01,小倉,11,平地,4歳以上,関門橋ステークス,3勝,,芝,2000,,定量
2026-03-01,小倉,12,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1700,,定量
